,color,variable,playable_spaces
0,red,row_1,1
1,green,row_1,1
2,blue,row_1,1
3,yellow,row_1,1
4,black,row_1,1
5,red,row_2,2
6,green,row_2,2
7,blue,row_2,2
8,yellow,row_2,2
9,black,row_2,2
10,red,row_3,3
11,green,row_3,3
12,blue,row_3,3
13,yellow,row_3,3
14,black,row_3,3
15,red,row_4,4
16,green,row_4,4
17,blue,row_4,4
18,yellow,row_4,4
19,black,row_4,4
20,red,row_5,5
21,green,row_5,5
22,blue,row_5,5
23,yellow,row_5,5
24,black,row_5,5
25,red,row_minus,20
26,green,row_minus,20
27,blue,row_minus,20
28,yellow,row_minus,20
29,black,row_minus,20
